Analysts,Units,Method,TStartVid,TEndVid,TStartAnalyst,TEndAnalyst,OldTStartVid,OldTEndVid,OldTStartAnalyst,OldTEndAnalyst
Rogoff & Dayton ,Unit 1,STILL,119,119,8,147,0:01:59,0:01:59,0:00:08,0:02:27
Rogoff & Dayton ,Unit 2,STILL,0,0,147,172,0:00:00,0:00:00,0:02:27,0:02:52
Rogoff & Dayton ,Unit 3,PLAY,0,119,172,292,0:00:00,0:01:59,0:02:52,0:04:52
Rogoff & Dayton ,Unit 4,STILL,119,119,292,380,0:01:59,0:01:59,0:04:52,0:06:20
Rogoff & Dayton ,Unit 5,PLAY,0,16,380,397,0:00:00,0:00:16,0:06:20,0:06:37
Rogoff & Dayton ,Unit 6,STILL,16,16,396,403,0:00:16,0:00:16,0:06:36,0:06:43
Rogoff & Dayton ,Unit 7,PLAY,16,64,403,450,0:00:16,0:01:04,0:06:43,0:07:30
Rogoff & Dayton ,Unit 8,FREV,64,0,450,452,0:01:04,0:00:00,0:07:30,0:07:32
Rogoff & Dayton ,Unit 9,STILL,0,0,452,455,0:00:00,0:00:00,0:07:32,0:07:35
Rogoff & Dayton ,Unit 10,PLAY,0,2,455,459,0:00:00,0:00:02,0:07:35,0:07:39
Rogoff & Dayton ,Unit 11,STILL,2,2,459,462,0:00:02,0:00:02,0:07:39,0:07:42
Rogoff & Dayton ,Unit 12,PLAY,2,119,462,580,0:00:02,0:01:59,0:07:42,0:09:40
Rogoff & Dayton ,Unit 13,STILL,119,119,580,699,0:01:59,0:01:59,0:09:40,0:11:39
Rogoff & Dayton ,Unit 14,PLAY,0,119,699,819,0:00:00,0:01:59,0:11:39,0:13:39
Rogoff & Dayton ,Unit 15,STILL,119,119,819,930,0:01:59,0:01:59,0:13:39,0:15:30
Rogoff & Dayton ,Unit 16,PLAY,0,50,930,980,0:00:00,0:00:50,0:15:30,0:16:20
Rogoff & Dayton ,Unit 17,STILL,50,50,980,1083,0:00:50,0:00:50,0:16:20,0:18:03
Rogoff & Dayton ,Unit 18,JREV,50,0,1083,1084,0:00:50,0:00:00,0:18:03,0:18:04
Rogoff & Dayton ,Unit 19,STILL,0,0,1084,1088,0:00:00,0:00:00,0:18:04,0:18:08
Rogoff & Dayton ,Unit 20,PLAY,0,5,1088,1093,0:00:00,0:00:05,0:18:08,0:18:13
Rogoff & Dayton ,Unit 21,STILL,5,5,1093,1102,0:00:05,0:00:05,0:18:13,0:18:22
Rogoff & Dayton ,Unit 22,PLAY,5,119,1102,1217,0:00:05,0:01:59,0:18:22,0:20:17
Rogoff & Dayton ,Unit 23,STILL,119,119,1217,1394,0:01:59,0:01:59,0:20:17,0:23:14
Rogoff & Dayton ,Unit 24,PLAY,0,119,1394,1525,0:00:00,0:01:59,0:23:14,0:25:25
Rogoff & Dayton ,Unit 25,STILL,119,119,1525,1587,0:01:59,0:01:59,0:25:25,0:26:27
Rogoff & Dayton ,Unit 26,PLAY,0,1,1587,1588,0:00:00,0:00:01,0:26:27,0:26:28
Rogoff & Dayton ,Unit 27,STILL,1,1,1588,1718,0:00:01,0:00:01,0:26:28,0:28:38
Rogoff & Dayton ,Unit 28,FREV,1,0,1718,1719,0:00:01,0:00:00,0:28:38,0:28:39
Rogoff & Dayton ,Unit 29,STILL,0,0,1719,1822,0:00:00,0:00:00,0:28:39,0:30:22
Rogoff & Dayton ,Unit 30,PLAY,0,1,1822,1821,0:00:00,0:00:01,0:30:22,0:30:21
Rogoff & Dayton ,Unit 31,STILL,1,1,1821,1826,0:00:01,0:00:01,0:30:21,0:30:26
Rogoff & Dayton ,Unit 32,PLAY,1,3,1826,1828,0:00:01,0:00:03,0:30:26,0:30:28
Rogoff & Dayton ,Unit 33,STILL,3,3,1828,1854,0:00:03,0:00:03,0:30:28,0:30:54
Rogoff & Dayton ,Unit 34,PLAY,3,19,1854,1870,0:00:03,0:00:19,0:30:54,0:31:10
Rogoff & Dayton ,Unit 35,STILL,19,19,1870,1880,0:00:19,0:00:19,0:31:10,0:31:20
Rogoff & Dayton ,Unit 36,FREV,19,0,1880,1883,0:00:19,0:00:00,0:31:20,0:31:23
Rogoff & Dayton ,Unit 37,PLAY,0,49,1883,1935,0:00:00,0:00:49,0:31:23,0:32:15
Rogoff & Dayton ,Unit 38,STILL,49,49,1935,1939,0:00:49,0:00:49,0:32:15,0:32:19
