Analysts,Units,Method,TStartVid,TEndVid,TStartAnalyst,TEndAnalyst
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 1,STILL,0:00:00,0:00:00,0:00:00,0:02:19
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 2,PLAY,0:00:00,0:01:59,0:02:19,0:04:19
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 3,JREV,0:01:59,0:00:01,0:04:19,0:04:20
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 4,STILL,0:00:01,0:00:01,0:04:20,0:04:59
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 5,FFWD,0:00:01,0:01:59,0:04:59,0:05:04
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 6,STILL,0:01:59,0:01:59,0:05:04,0:05:10
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 7,FREV,0:01:59,0:00:00,0:05:10,0:05:22
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 8,STILL,0:00:00,0:00:00,0:05:22,0:06:01
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 9,FFWD,0:00:00,0:01:20,0:06:01,0:06:22
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 10,STILL,0:01:20,0:01:20,0:06:22,0:06:45
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 11,FFWD,0:01:20,0:01:30,0:06:45,0:06:47
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 12,STILL,0:01:30,0:01:30,0:06:47,0:07:19
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 13,FFWD,0:01:30,0:01:59,0:07:19,0:07:29
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 14,STILL,0:01:59,0:01:59,0:07:29,0:08:20
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 15,FREV,0:01:59,0:01:05,0:08:20,0:08:28
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 16,FFWD,0:01:05,0:01:07,0:08:28,0:08:30
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 17,STILL,0:01:07,0:01:07,0:08:30,0:08:31
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 18,FFWD,0:01:07,0:01:12,0:08:31,0:08:34
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 19,FREV,0:01:12,0:01:01,0:08:34,0:08:38
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 20,FFWD,0:01:01,0:01:26,0:08:38,0:08:45
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 21,FREV,0:01:26,0:01:16,0:08:45,0:08:48
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 22,FREV,0:01:16,0:00:16,0:08:48,0:08:50
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 23,FFWD,0:00:16,0:00:17,0:08:50,0:08:52
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 24,STILL,0:00:17,0:00:17,0:08:52,0:09:07
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 25,FREV,0:00:17,0:00:00,0:09:07,0:09:09
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 26,STILL,0:00:00,0:00:00,0:09:09,0:10:03
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 27,PLAY,0:00:00,0:00:37,0:10:03,0:10:41
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 28,STILL,0:00:37,0:00:37,0:10:41,0:10:49
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 29,FREV,0:00:37,0:00:11,0:10:49,0:10:52
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 30,FFWD,0:00:11,0:00:18,0:10:52,0:10:54
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 31,FREV,0:00:18,0:00:03,0:10:54,0:10:59
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 32,FFWD,0:00:03,0:00:20,0:10:59,0:11:05
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 33,STILL,0:00:20,0:00:20,0:11:05,0:11:27
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 34,FREV,0:00:20,0:00:00,0:11:27,0:11:30
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 35,PLAY,0:00:00,0:00:18,0:11:30,0:11:50
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 36,STILL,0:00:18,0:00:18,0:11:50,0:11:59
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 37,SREV,0:00:18,0:00:16,0:11:59,0:12:07
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 38,STILL,0:00:16,0:00:16,0:12:07,0:12:19
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 39,SREV,0:00:16,0:00:16,0:12:19,0:12:23
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 40,STILL,0:00:16,0:00:16,0:12:23,0:12:29
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 41,SFWD,0:00:16,0:00:17,0:12:29,0:12:31
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 42,STILL,0:00:17,0:00:17,0:12:33,0:12:33
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 43,SFWD,0:00:17,0:00:18,0:12:33,0:12:37
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 44,STILL,0:00:18,0:00:18,0:12:37,0:13:00
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 45,FREV,0:00:17,0:00:00,0:13:00,0:13:02
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 46,PLAY,0:00:00,0:00:18,0:13:02,0:13:21
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 47,STILL,0:00:18,0:00:18,0:13:21,0:13:47
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 48,FREV,0:00:18,0:00:00,0:13:47,0:13:51
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 49,STILL,0:00:00,0:00:00,0:13:51,0:14:01
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 50,PLAY,0:00:00,0:00:00,0:14:01,0:14:04
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 51,STILL,0:00:00,0:00:00,0:14:04,0:14:21
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 52,SFWD,0:00:00,0:00:01,0:14:21,0:14:29
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 53,STILL,0:00:01,0:00:01,0:14:29,0:14:47
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 54,SFWD,0:00:01,0:00:01,0:14:47,0:14:49
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 55,STILL,0:00:01,0:00:01,0:14:49,0:14:50
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 56,SFWD,0:00:01,0:00:04,0:14:51,0:15:05
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 57,STILL,0:00:01,0:00:04,0:15:05,0:15:09
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 58,SREV,0:00:04,0:00:00,0:15:09,0:15:11
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 59,PLAY,0:00:00,0:00:04,0:15:11,0:15:16
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 60,STILL,0:00:04,0:00:04,0:15:16,0:16:42
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 61,PLAY,0:00:04,0:00:35,0:16:42,0:17:13
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 62,STILL,0:00:35,0:00:35,0:17:13,0:17:18
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 63,SREV,0:00:35,0:00:23,0:17:18,0:17:21
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 64,STILL,0:00:23,0:00:23,0:17:21,0:19:03
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 65,PLAY,0:00:23,0:00:34,0:19:03,0:19:16
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 66,STILL,0:00:34,0:00:34,0:19:16,0:20:16
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 67,PLAY,0:00:34,0:00:51,0:20:16,0:20:32
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 68,STILL,0:00:51,0:00:51,0:20:32,0:22:24
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 69,PLAY,0:00:51,0:00:56,0:22:24,0:22:30
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 70,STILL,0:00:56,0:00:56,0:22:30,0:22:45
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 71,PLAY,0:00:56,0:01:02,0:22:45,0:22:50
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 72,STILL,0:01:02,0:01:02,0:22:50,0:22:57
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 73,PLAY,0:01:02,0:01:10,0:22:57,0:23:06
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 74,STILL,0:01:11,0:01:11,0:23:06,0:24:33
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 75,SREV,0:01:11,0:01:05,0:24:33,0:24:37
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 76,STILL,0:01:05,0:01:05,0:24:37,0:24:47
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 77,PLAY,0:01:05,0:01:09,0:24:47,0:24:52
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 78,SREV,0:01:09,0:00:59,0:24:52,0:24:56
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 79,PLAY,0:00:59,0:01:06,0:24:56,0:25:04
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 80,STILL,0:01:06,0:01:06,0:25:04,0:25:25
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 81,PLAY,0:01:06,0:01:08,0:25:25,0:25:26
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 82,STILL,0:01:08,0:01:08,0:25:26,0:25:56
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 83,PLAY,0:01:08,0:01:12,0:25:56,0:26:00
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 84,STILL,0:01:12,0:01:12,0:26:00,0:26:26
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 85,STILL,0:01:14,0:01:14,0:26:27,0:26:38
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 86,PLAY,0:01:14,0:01:17,0:26:38,0:26:41
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 87,STILL,0:01:17,0:01:17,0:26:41,0:27:00
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 88,PLAY,0:01:17,0:01:39,0:27:00,0:27:22
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 89,STILL,0:01:39,0:01:39,0:27:22,0:28:35
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 90,PLAY,0:01:39,0:01:50,0:28:35,0:28:45
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 91,STILL,0:01:50,0:01:50,0:28:45,0:29:43
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 92,FREV,0:01:50,0:01:31,0:29:43,0:29:48
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 93,FFWD,0:01:31,0:01:44,0:29:48,0:29:57
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 94,FREV,0:01:44,0:01:43,0:29:57,0:30:01
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 95,FFWD,0:01:41,0:01:43,0:30:01,0:30:03
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 96,FREV,0:01:43,0:01:23,0:30:03,0:30:13
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 97,STILL,0:01:23,0:01:23,0:30:13,0:30:23
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 101,PLAY,0:01:23,0:01:28,0:30:23,0:30:28
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 102,STILL,0:01:28,0:01:28,0:30:28,0:31:01
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 103,PLAY,0:01:28,0:01:45,0:31:01,0:31:18
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 104,STILL,0:01:45,0:01:45,0:31:18,0:31:27
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 105,PLAY,0:01:45,0:01:57,0:31:27,0:31:39
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 106,STILL,0:01:57,0:01:57,0:31:39,0:32:11
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 107,PLAY,0:01:57,0:01:59,0:32:11,0:32:14
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 108,FREV,0:01:59,0:01:52,0:32:14,0:32:22
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 109,PLAY,0:01:52,0:01:58,0:32:22,0:32:29
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 110,STILL,0:01:58,0:01:58,0:32:29,0:33:30
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 111,PLAY,0:01:58,0:01:59,0:33:30,0:33:31
"Frederick Erickson, Adrienne Isaac & Didem Ikizoglu",Unit 112,STILL,0:01:59,0:01:59,0:33:31,0:41:25
