Analysts,Units,Method,TStartVid,TEndVid,TStartAnalyst,TEndAnalyst
Jurgen Streeck,Unit 72,FREV,0:01:55,0:01:17,0:12:33,0:12:41
Jurgen Streeck,Unit 73,STILL,0:01:17,0:01:17,0:12:41,0:12:53
Jurgen Streeck,Unit 74,PLAY,0:01:17,0:01:20,0:12:53,0:12:56
Jurgen Streeck,Unit 75,STILL,0:01:20,0:01:20,0:12:56,0:13:15
Jurgen Streeck,Unit 76,JREV,0:01:20,0:01:14,0:13:15,0:13:16
Jurgen Streeck,Unit 77,PLAY,0:01:14,0:01:21,0:13:16,0:13:23
Jurgen Streeck,Unit 78,STILL,0:01:21,0:01:21,0:13:23,0:13:29
Jurgen Streeck,Unit 79,PLAY,0:01:21,0:01:23,0:13:29,0:13:31
Jurgen Streeck,Unit 80,STILL,0:01:23,0:01:23,0:13:31,0:13:37
Jurgen Streeck,Unit 81,PLAY,0:01:23,0:01:25,0:13:37,0:13:39
Jurgen Streeck,Unit 82,FREV,0:01:25,0:01:20,0:13:39,0:13:44
Jurgen Streeck,Unit 83,PLAY,0:01:20,0:01:29,0:13:44,0:13:53
Jurgen Streeck,Unit 84,STILL,0:01:29,0:01:29,0:13:53,0:14:55
Jurgen Streeck,Unit 85,PLAY,0:01:29,0:01:32,0:14:55,0:14:58
Jurgen Streeck,Unit 86,STILL,0:01:32,0:01:32,0:14:58,0:15:45
Jurgen Streeck,Unit 87,SREV,0:01:32,0:01:21,0:15:45,0:15:59
Jurgen Streeck,Unit 88,PLAY,0:01:21,0:01:28,0:15:59,0:16:06
Jurgen Streeck,Unit 89,STILL,0:01:28,0:01:28,0:16:06,0:16:10
Jurgen Streeck,Unit 90,PLAY,0:01:28,0:01:42,0:16:10,0:16:24
Jurgen Streeck,Unit 91,STILL,0:01:42,0:01:42,0:16:24,0:17:06
Jurgen Streeck,Unit 92,PLAY,0:01:42,0:01:59,0:17:06,0:17:25
Jurgen Streeck,Unit 93,STILL,0:01:59,0:01:59,0:17:25,0:18:30
Jurgen Streeck,Unit 94,FREV,0:01:59,0:00:48,0:18:30,0:18:50
Jurgen Streeck,Unit 95,PLAY,0:00:48,0:00:51,0:18:50,0:18:53
Jurgen Streeck,Unit 96,STILL,0:00:51,0:00:51,0:18:53,0:19:08
Jurgen Streeck,Unit 97,FREV,0:00:51,0:00:50,0:19:08,0:19:09
Jurgen Streeck,Unit 98,STILL,0:00:50,0:00:50,0:19:09,0:19:27
Jurgen Streeck,Unit 99,PLAY,0:00:50,0:00:55,0:19:27,0:19:32
Jurgen Streeck,Unit 100,STILL,0:00:55,0:00:55,0:19:32,0:19:36
Jurgen Streeck,Unit 101,PLAY,0:00:55,0:01:00,0:19:36,0:19:41
Jurgen Streeck,Unit 102,FREV,0:01:00,0:00:50,0:19:41,0:19:49
Jurgen Streeck,Unit 103,PLAY,0:00:50,0:00:53,0:19:49,0:19:52
Jurgen Streeck,Unit 104,STILL,0:00:53,0:00:53,0:19:52,0:20:19
Jurgen Streeck,Unit 105,PLAY,0:00:53,0:00:57,0:20:19,0:20:23
Jurgen Streeck,Unit 106,STILL,0:00:57,0:00:57,0:20:23,0:20:25
Jurgen Streeck,Unit 107,PLAY,0:00:57,0:00:58,0:20:25,0:20:26
Jurgen Streeck,Unit 108,STILL,0:00:58,0:00:58,0:20:26,0:20:37
Jurgen Streeck,Unit 109,PLAY,0:00:58,0:01:01,0:20:37,0:20:40
Jurgen Streeck,Unit 110,STILL,0:01:01,0:01:01,0:20:40,0:20:43
Jurgen Streeck,Unit 111,PLAY,0:01:01,0:01:04,0:20:43,0:20:46
Jurgen Streeck,Unit 112,STILL,0:01:04,0:01:04,0:20:46,0:21:00
Jurgen Streeck,Unit 113,PLAY,0:01:04,0:01:08,0:21:00,0:21:04
Jurgen Streeck,Unit 114,STILL,0:01:08,0:01:08,0:21:04,0:21:10
Jurgen Streeck,Unit 115,FREV,0:01:08,0:01:05,0:21:10,0:21:15
Jurgen Streeck,Unit 116,PLAY,0:01:05,0:01:09,0:21:15,0:21:19
Jurgen Streeck,Unit 117,STILL,0:01:09,0:01:09,0:21:19,0:21:25
Jurgen Streeck,Unit 118,PLAY,0:01:09,0:01:13,0:21:25,0:21:29
Jurgen Streeck,Unit 119,STILL,0:01:13,0:01:13,0:21:29,0:21:35
Jurgen Streeck,Unit 120,PLAY,0:01:13,0:01:24,0:21:35,0:21:46
Jurgen Streeck,Unit 121,FREV,0:01:24,0:01:22,0:21:46,0:21:51
Jurgen Streeck,Unit 122,PLAY,0:01:22,0:01:29,0:21:51,0:21:58
Jurgen Streeck,Unit 123,STILL,0:01:29,0:01:29,0:21:58,0:22:08
Jurgen Streeck,Unit 124,PLAY,0:01:29,0:01:39,0:22:08,0:22:18
Jurgen Streeck,Unit 125,STILL,0:01:39,0:01:39,0:22:18,0:22:25
Jurgen Streeck,Unit 126,PLAY,0:01:39,0:01:40,0:22:25,0:22:26
Jurgen Streeck,Unit 127,STILL,0:01:40,0:01:40,0:22:26,0:22:48
