Analysts,Units,Method,TStartVid,TEndVid,TStartAnalyst,TEndAnalyst
Miriam Sherin,Unit 1,PLAY,0,119,11,129
Miriam Sherin,Unit 2,STILL,119,119,129,351
Miriam Sherin,Unit 3,PLAY,0,3,351,355
Miriam Sherin,Unit 4,STILL,3,3,355,389
Miriam Sherin,Unit 5,PLAY,3,9,389,395
Miriam Sherin,Unit 6,STILL,9,9,395,415
Miriam Sherin,Unit 7,FREV,9,0,415,418
Miriam Sherin,Unit 8,STILL,0,0,418,434
Miriam Sherin,Unit 9,PLAY,0,13,434,448
Miriam Sherin,Unit 10,STILL,13,13,448,458
Miriam Sherin,Unit 11,FREV,13,10,458,461
Miriam Sherin,Unit 12,PLAY,10,20,461,471
Miriam Sherin,Unit 13,STILL,20,20,471,479
Miriam Sherin,Unit 14,FREV,20,18,479,482
Miriam Sherin,Unit 15,PLAY,18,26,482,490
Miriam Sherin,Unit 16,STILL,26,26,490,516
Miriam Sherin,Unit 17,FREV,26,19,516,519
Miriam Sherin,Unit 18,PLAY,19,25,519,527
Miriam Sherin,Unit 19,STILL,25,25,527,535
Miriam Sherin,Unit 20,FREV,25,16,535,537
Miriam Sherin,Unit 21,PLAY,16,21,537,543
Miriam Sherin,Unit 22,STILL,21,21,543,558
Miriam Sherin,Unit 23,FREV,21,18,558,560
Miriam Sherin,Unit 24,PLAY,18,37,560,580
Miriam Sherin,Unit 25,STILL,37,37,580,612
Miriam Sherin,Unit 26,PLAY,37,42,612,619
Miriam Sherin,Unit 27,FREV,42,30,619,625
Miriam Sherin,Unit 28,STILL,30,30,625,630
Miriam Sherin,Unit 29,PLAY,30,36,630,638
Miriam Sherin,Unit 30,STILL,36,36,638,643
Miriam Sherin,Unit 31,PLAY,36,41,643,646
Miriam Sherin,Unit 32,FREV,41,36,646,649
Miriam Sherin,Unit 33,STILL,36,36,649,654
Miriam Sherin,Unit 34,PLAY,36,40,654,658
Miriam Sherin,Unit 35,FREV,40,33,658,660
Miriam Sherin,Unit 36,STILL,33,33,660,679
Miriam Sherin,Unit 37,PLAY,33,47,679,693
Miriam Sherin,Unit 38,FREV,47,41,693,697
Miriam Sherin,Unit 39,PLAY,41,43,697,701
Miriam Sherin,Unit 40,FREV,43,32,701,704
Miriam Sherin,Unit 41,PLAY,32,41,704,714
Miriam Sherin,Unit 42,STILL,41,41,714,726
Miriam Sherin,Unit 43,PLAY,41,46,726,731
Miriam Sherin,Unit 44,STILL,46,46,731,733
Miriam Sherin,Unit 45,FREV,46,43,733,736
Miriam Sherin,Unit 46,STILL,43,43,736,745
Miriam Sherin,Unit 47,PLAY,43,50,745,752
Miriam Sherin,Unit 48,STILL,50,50,752,757
Miriam Sherin,Unit 49,FREV,50,31,757,764
Miriam Sherin,Unit 50,PLAY,31,47,764,780
Miriam Sherin,Unit 51,STILL,47,47,780,789
Miriam Sherin,Unit 52,FREV,47,42,789,793
Miriam Sherin,Unit 53,PLAY,42,49,793,800
Miriam Sherin,Unit 54,STILL,49,49,800,819
Miriam Sherin,Unit 55,PLAY,49,56,819,826
Miriam Sherin,Unit 56,STILL,56,56,826,849
Miriam Sherin,Unit 57,PLAY,56,57,849,850
Miriam Sherin,Unit 58,STILL,57,57,850,851
Miriam Sherin,Unit 59,FREV,57,46,851,853
Miriam Sherin,Unit 60,PLAY,46,61,853,868
Miriam Sherin,Unit 61,STILL,61,61,868,910
Miriam Sherin,Unit 62,FREV,61,47,910,913
Miriam Sherin,Unit 63,PLAY,47,60,913,926
Miriam Sherin,Unit 64,STILL,60,60,926,988
